sdt_SID,sdt_Validity,sdt_Target,sdt_nontargetContrast,det_dPrime,det_crit,dis_dPrime,dis_crit
"S0004",1,1,1,3.69398546535806,-0.463998605578391,2.31528564839897,0.154494856536952
"S0004",2,1,1,3.3968524117742,-0.164305661534553,1.40205270744464,-0.051702440535852
"S0004",3,1,1,2.94024743446193,-0.392608150190686,1.85406298602592,0.0621371343276763
"S0004",1,2,1,3.29947329531181,-0.661254690601517,2.82629345084889,-0.0301525983238073
"S0004",2,2,1,2.77997370640788,-0.763887840857518,2.07073969156171,-0.282641051522683
"S0004",3,2,1,3.09259062663824,-0.316436554102531,1.73790346013123,0.141038439183969
"S0004",1,1,2,3.51903723441764,-0.805760680059708,1.9348431322034,-0
"S0004",2,1,2,3.26291031498584,-0.534651595399408,0.993129114160457,-0.177925193115853
"S0004",3,1,2,2.72569902711976,-0.803257239332449,1.16326616131075,-0.0928566695407061
"S0004",1,2,2,3.01975769591744,-1.05540044930981,3.41982825880203,-0.326920002300375
"S0004",2,2,2,2.09007512977194,-1.12106918800636,1.46898874434038,-0.415855008205817
"S0004",3,2,2,2.91396534765563,-0.709124079064514,0.831800434806253,0.258589532792956
"S0004",1,1,3,4.51218207351094,0.309188260513052,3.06907605669002,0.493531116588895
"S0004",2,1,3,3.60030691257871,0.365953296602975,1.9523928502097,0.134575191531936
"S0004",3,1,3,3.60030691257871,0.365953296602975,2.87272203667123,0.426370849086035
"S0004",1,2,3,4.51218207351094,0.309188260513052,2.50733235866928,0.129327947766
"S0004",2,2,3,3.85672838247723,0.237742561653715,3.03520649039657,-0.0165172991542608
"S0004",3,2,3,3.60030691257871,0.365953296602975,3.18561687574658,-0.241106197942626
"S0005",1,1,1,2.91087553500916,0.0376406295083146,1.5783744785201,0.209013932892836
"S0005",2,1,1,2.95191768234881,-0.0581617031781395,2.2489731316463,0.15706499972145
"S0005",3,1,1,2.61163611139283,0.228302488656133,1.71889854506868,0.184959522338257
"S0005",1,2,1,3.25502020243531,-0.526364592843802,2.92680398315125,-0.151264310839188
"S0005",2,2,1,3.01308124779766,-0.356191243522822,2.51107611529361,-0.245547888397221
"S0005",3,2,1,4.03184887756003,-0.40727175622853,3.7254637348433,-0
"S0005",1,1,2,3.46134071863343,-0.580320978940706,1.34274756168898,0.140844020655423
"S0005",2,1,2,3.13352831899403,-0.599342593395314,2.03749593939488,0.131601410678566
"S0005",3,1,2,3.18074276472519,-0.272360485059058,1.10521704949154,0.121881225450312
"S0005",1,2,2,2.95305271353392,-0.83446498149046,2.33894203890453,-0.202049453350565
"S0005",2,2,2,2.20861029454863,-0.429815397078232,2.3523803517044,-0.289043616833323
"S0005",3,2,2,3.41386060824365,-0.459176448770503,3.77901992066686,-0
"S0005",1,1,3,3.36546379002747,0.628259443243683,1.91903572650698,0.322033702291112
"S0005",2,1,3,3.26291031498584,0.534651595399408,2.53280431656366,0.198831634403691
"S0005",3,1,3,2.53722161761773,0.594121058612785,2.65248737249062,0.405420709876933
"S0005",1,2,3,4.34782546995881,0.137078603278016,4.05613828986781,4.44089209850063e-16
"S0005",2,2,3,4.33221350578466,-2.22044604925031e-16,2.68446992472856,-0.191885581988269
"S0005",3,2,3,4.33221350578466,-2.22044604925031e-16,3.06824108870509,-0
"S0007",1,1,1,2.0280917481826,-0.403751263904967,1.88545154893208,-0.386092153398831
"S0007",2,1,1,2.36463142255795,-0.351804833073574,1.80595207825264,-0.37857552641828
"S0007",3,1,1,1.83392831531992,0.0298175986410847,1.27234853286837,-0.205446967138728
"S0007",1,2,1,3.21765755565015,-0.702162560432346,2.19333241455127,-0.209519648256761
"S0007",2,2,1,3.29261996829743,-0.77688621085983,1.49876658036425,-0.260606879067456
"S0007",3,2,1,3.23765071680233,-0.804370836607381,2.72569902711976,-0.803257239332449
"S0007",1,1,2,2.46172842117808,-1.33441508667949,1.68888886035855,-0.41371713088382
"S0007",2,1,2,2.39599087047156,-0.968111317656549,1.82483913057209,-0.237929815089963
"S0007",3,1,2,2.55552105074447,-0.888346227520093,1.46898874434038,-0.415855008205817
"S0007",1,2,2,2.6572256018573,-0.982378537328769,2.28787373584857,0.00641251245172569
"S0007",2,2,2,2.47477255858726,-0.928720473598698,1.77429311803775,-0
"S0007",3,2,2,2.39599087047156,-0.968111317656549,3.24121220026409,-0.268903860201384
"S0007",1,1,3,3.56058495098827,0.78498682177439,2.13851990466234,-0.356816919941679
"S0007",2,1,3,3.26291031498584,0.534651595399408,1.83134014948609,-0.549563717942477
"S0007",3,1,3,2.47477255858726,0.928720473598698,1.03531264587869,0.0869290236438899
"S0007",1,2,3,4.72327925542441,0.203639669556319,2.19788610091471,-0.424453300261275
"S0007",2,2,3,4.33221350578466,-2.22044604925031e-16,1.30766006498618,-0.496519347882919
"S0007",3,2,3,4.33221350578466,-2.22044604925031e-16,1.88950996033343,-0.944754980166715
"S0013",1,1,1,4.50412626335792,-0.309618803255061,2.61390794315908,0.419807412560662
"S0013",2,1,1,4.19202123352725,0.327185578244919,2.98438557226686,0.661681907928029
"S0013",3,1,1,4.01660656148311,0.145571413319902,2.17557569624011,0.413298097923972
"S0013",1,2,1,4.71555662899548,0.203903620436284,2.2457503206294,0.326014421487986
"S0013",2,2,1,4.84639239001709,-4.44089209850063e-16,3.41386060824365,0.459176448770503
"S0013",3,2,1,4.41717980089709,0.214606294560001,2.72762622610693,0.498918754368184
"S0013",1,1,2,4.14836442960133,-0.491097082467858,2.27571458821406,0.396263250245515
"S0013",2,1,2,4.33221350578466,-2.22044604925031e-16,2.9386413582974,0.42018928118473
"S0013",3,1,2,3.85672838247723,-0.237742561653716,2.02289695546722,0.522672066618939
"S0013",1,2,2,5.13055859453705,-6.66133814775094e-16,1.96256718187592,0.169065789438048
"S0013",2,2,2,4.33221350578466,-2.22044604925031e-16,3.77901992066686,-0
"S0013",3,2,2,4.33221350578466,-2.22044604925031e-16,2.42126710337142,0.323486992666835
"S0013",1,1,3,4.72327925542441,0.203639669556319,3.08254159670396,0.486798346581927
"S0013",2,1,3,3.60030691257871,0.365953296602975,2.44186402967721,0.641799852583048
"S0013",3,1,3,3.60030691257871,0.365953296602975,2.3523803517044,0.289043616833323
"S0013",1,2,3,4.17372320567907,0.224129735417884,2.80910295645662,0.623517666705599
"S0013",2,2,3,4.33221350578466,-2.22044604925031e-16,2.71030204866581,0.534358936000525
"S0013",3,2,3,3.85672838247723,0.237742561653715,2.66593172148136,0.556544099592751
"S0015",1,1,1,3.24572599452229,-0.239868870160507,2.49585870437147,0.123591120617097
"S0015",2,1,1,3.57167183205772,0.368038778032594,2.21145315028294,0.377813284259826
"S0015",3,1,1,3.47188559136499,0.41793189837896,1.53984812472775,0.174745529030599
"S0015",1,2,1,3.41982825880203,-0.326920002300375,4.13228358587947,-0.488218936306949
"S0015",2,2,1,4.30774938812291,-0,3.38271683285395,0.157237872074431
"S0015",3,2,1,2.75345528981372,-0.299212077866582,2.62870077623106,-0.203578771478746
"S0015",1,1,2,3.51903723441764,-0.805760680059708,1.85456812512058,0.0401375035414126
"S0015",2,1,2,3.85672838247723,-0.237742561653716,1.63912579149068,0.330786484630669
"S0015",3,1,2,3.85672838247723,-0.237742561653716,0.993129114160457,0.177925193115853
"S0015",1,2,2,3.56058495098827,-0.784986821774391,3.95379723777954,-0.341859352088061
"S0015",2,2,2,3.85672838247723,-0.237742561653716,3.06824108870509,-0
"S0015",3,2,2,2.72569902711976,-0.803257239332449,2.30069876075202,-0
"S0015",1,1,3,4.06371294961074,0.533422822463157,3.72321901386075,0.441430437659406
"S0015",2,1,3,3.13352831899403,0.599342593395314,2.77016465684089,0.417660762318744
"S0015",3,1,3,3.01860178716702,0.656805859308818,2.44615310505905,0.203000319743323
"S0015",1,2,3,4.04265573437966,0.289663471067587,3.74930281209914,-0.420243803193527
"S0015",2,2,3,3.85672838247723,0.237742561653715,3.21443410735231,0.255514813745495
"S0015",3,2,3,3.41386060824365,0.459176448770503,2.83015343352335,-0.447655150659975
"S0018",1,1,1,3.83018607464241,-0.121741094380182,2.61229111409986,0.00599212368650692
"S0018",2,1,1,4.30774938812291,-0,2.83594005689782,-0.0999591311453708
"S0018",3,1,1,4.01660656148311,-0.145571413319902,1.87631518635951,-0.0510110341608796
"S0018",1,2,1,4.17372320567907,-0.224129735417884,3.05751689507118,0.00536209681695732
"S0018",2,2,1,4.84639239001709,-4.44089209850063e-16,3.13352831899403,-0.599342593395314
"S0018",3,2,1,4.84639239001709,-4.44089209850063e-16,2.46836027767954,0.0838307584637642
"S0018",1,1,2,3.98861391829651,-0.570972338120273,2.69908596222395,0.382121415010272
"S0018",2,1,2,3.7254637348433,-0,1.99791817565566,-0.111812528808955
"S0018",3,1,2,3.60030691257871,-0.365953296602975,1.16326616131075,0.0928566695407061
"S0018",1,2,2,4.06371294961074,-0.533422822463157,2.98982595718534,0.236751417529574
"S0018",2,2,2,4.33221350578466,-2.22044604925031e-16,2.9386413582974,-0.42018928118473
"S0018",3,2,2,4.33221350578466,-2.22044604925031e-16,2.03749593939488,0.131601410678566
"S0018",1,1,3,4.24617329961325,0.442192647461898,3.0508816839515,-0.484433930219633
"S0018",2,1,3,4.33221350578466,-2.22044604925031e-16,3.77901992066686,-0
"S0018",3,1,3,3.85672838247723,0.237742561653715,2.91186326538562,-0.40680023472884
