SID,Validity,Target,AccPP,AccPA,AccAP,AccAA
"S0004",1,1,83.3333333333333,89.5833333333333,83.3333333333333,100
"S0004",2,1,68.75,78.125,87.5,100
"S0004",3,1,71.875,87.5,71.875,100
"S0004",1,2,94.7916666666667,87.5,67.7083333333333,100
"S0004",2,2,75,90.625,46.875,100
"S0004",3,2,65.625,90.625,78.125,100
"S0005",1,1,73.9583333333333,69.7916666666667,87.5,98.9583333333333
"S0005",2,1,84.375,78.125,84.375,100
"S0005",3,1,68.75,68.75,90.625,96.875
"S0005",1,2,86.4583333333333,95.8333333333333,73.9583333333333,98.9583333333333
"S0005",2,2,81.25,90.625,75,100
"S0005",3,2,100,93.75,90.625,100
"S0007",1,1,78.125,70.8333333333333,45.8333333333333,100
"S0007",2,1,81.25,68.75,59.375,100
"S0007",3,1,75,43.75,65.625,100
"S0007",1,2,86.4583333333333,83.3333333333333,63.5416666666667,100
"S0007",2,2,81.25,71.875,62.5,100
"S0007",3,2,96.875,75,59.375,100
"S0013",1,1,85.4166666666667,90.625,94.7916666666667,100
"S0013",2,1,93.75,81.25,100,100
"S0013",3,1,81.25,81.25,96.875,100
"S0013",1,2,83.3333333333333,85.4166666666667,100,98.9583333333333
"S0013",2,2,100,90.625,100,100
"S0013",3,2,87.5,87.5,100,100
"S0015",1,1,82.2916666666667,90.625,83.3333333333333,100
"S0015",2,1,78.125,78.125,96.875,100
"S0015",3,1,68.75,71.875,96.875,100
"S0015",1,2,97.9166666666667,92.7083333333333,84.375,98.9583333333333
"S0015",2,2,93.75,93.75,96.875,100
"S0015",3,2,87.5,84.375,71.875,100
"S0018",1,1,89.5833333333333,87.5,92.7083333333333,100
"S0018",2,1,81.25,100,96.875,100
"S0018",3,1,71.875,90.625,93.75,100
"S0018",1,2,92.7083333333333,92.7083333333333,93.75,100
"S0018",2,2,93.75,90.625,100,100
"S0018",3,2,84.375,93.75,100,100
"S0019",1,1,75,76.0416666666667,91.6666666666667,100
"S0019",2,1,71.875,71.875,93.75,96.875
"S0019",3,1,62.5,65.625,100,100
"S0019",1,2,76.0416666666667,81.25,86.4583333333333,96.875
"S0019",2,2,84.375,75,62.5,96.875
"S0019",3,2,65.625,68.75,75,100
"S0070",1,1,91.6666666666667,90.625,94.7916666666667,98.9583333333333
"S0070",2,1,90.625,78.125,93.75,96.875
"S0070",3,1,78.125,75,96.875,100
"S0070",1,2,94.7916666666667,95.8333333333333,92.7083333333333,100
"S0070",2,2,90.625,90.625,96.875,100
"S0070",3,2,87.5,96.875,84.375,100
"S0071",1,1,90.625,68.75,71.875,100
"S0071",2,1,71.875,81.25,75,90.625
"S0071",3,1,75,71.875,75,100
"S0071",1,2,86.4583333333333,87.5,83.3333333333333,98.9583333333333
"S0071",2,2,84.375,90.625,71.875,100
"S0071",3,2,84.375,90.625,81.25,93.75
"S0085",1,1,82.2916666666667,93.75,97.9166666666667,100
"S0085",2,1,84.375,75,96.875,100
"S0085",3,1,84.375,87.5,100,100
"S0085",1,2,94.7916666666667,94.7916666666667,92.7083333333333,100
"S0085",2,2,93.75,93.75,90.625,100
"S0085",3,2,87.5,90.625,90.625,100
"S0105",1,1,77.0833333333333,89.5833333333333,100,100
"S0105",2,1,87.5,84.375,90.625,100
"S0105",3,1,71.875,84.375,100,100
"S0105",1,2,81.25,86.4583333333333,96.875,100
"S0105",2,2,81.25,81.25,96.875,100
"S0105",3,2,78.125,81.25,100,100
"S0108",1,1,81.25,85.4166666666667,93.75,98.9583333333333
"S0108",2,1,78.125,87.5,96.875,100
"S0108",3,1,65.625,68.75,96.875,100
"S0108",1,2,89.5833333333333,89.5833333333333,90.625,100
"S0108",2,2,90.625,87.5,81.25,100
"S0108",3,2,78.125,90.625,87.5,100
"S0111",1,1,90.625,81.25,86.4583333333333,95.8333333333333
"S0111",2,1,90.625,68.75,75,100
"S0111",3,1,81.25,68.75,100,100
"S0111",1,2,86.4583333333333,87.5,88.5416666666667,97.9166666666667
"S0111",2,2,96.875,96.875,100,100
"S0111",3,2,87.5,87.5,96.875,100
"S0122",1,1,72.9166666666667,83.3333333333333,85.4166666666667,98.9583333333333
"S0122",2,1,65.625,84.375,87.5,100
"S0122",3,1,87.5,65.625,96.875,96.875
"S0122",1,2,91.6666666666667,91.6666666666667,93.75,97.9166666666667
"S0122",2,2,90.625,90.625,87.5,100
"S0122",3,2,84.375,78.125,96.875,100
"S0133",1,1,92.7083333333333,89.5833333333333,95.8333333333333,100
"S0133",2,1,56.25,90.625,81.25,100
"S0133",3,1,71.875,78.125,93.75,100
"S0133",1,2,94.7916666666667,92.7083333333333,97.9166666666667,98.9583333333333
"S0133",2,2,84.375,90.625,100,100
"S0133",3,2,81.25,84.375,84.375,100
