sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,dis_dPrime_sub,dis_crit_sub
"S0019",1,1,1,1.48784288752159,-0.367580563138545
"S0019",2,1,1,1.20578592298325,0.28425359752725
"S0019",3,1,1,0.831710016411633,-0.734494372170192
"S0019",1,2,1,1.52632008029704,-0.255992924480233
"S0019",2,2,1,2.03749593939488,-0.131601410678566
"S0019",3,2,1,0.807415775079045,-0.0850685235751472
"S0019",1,1,2,2.53460102004004,-0.354896074308446
"S0019",2,1,2,2.29322555122675,-0.622212262905333
"S0019",3,1,2,2.19955233781416,-0.669048869611625
"S0019",1,2,2,2.39197889166246,-0.327643821311097
"S0019",2,2,2,2.3882325050629,-0.306969693512574
"S0019",3,2,2,2.99935433703807,-0.0344433758335119
"S0135",1,1,1,2.2439788006084,-0.177655935739219
"S0135",2,1,1,2.03749593939488,-0.131601410678566
"S0135",3,1,1,0.64608709572484,-0.165732863252249
"S0135",1,2,1,2.16833025440387,-0.313917095555745
"S0135",2,2,1,1.56163630921496,-0.106328404411397
"S0135",3,2,1,1.82483913057209,-0.237929815089963
"S0135",1,1,2,2.8518906600637,0.330645080038479
"S0135",2,1,2,1.9523928502097,0.134575191531936
"S0135",3,1,2,2.9446862524527,0.361571509589564
"S0135",1,2,2,2.57730056476642,0.128590229783728
"S0135",2,2,2,3.03520649039657,-0.0165172991542608
"S0135",3,2,2,3.33686363509174,-0.134311273193322
"S0007",1,1,1,1.74024337695541,-0.41103029346172
"S0007",2,1,1,1.82483913057209,-0.237929815089963
"S0007",3,1,1,1.46898874434038,-0.415855008205817
"S0007",1,2,1,2.39604360138489,0.00217157846839943
"S0007",2,2,1,1.77429311803775,-0
"S0007",3,2,1,3.3968524117742,-0.164305661534553
"S0007",1,1,2,2.01084348808636,0.334289392530789
"S0007",2,1,2,2.53280431656366,0.198831634403691
"S0007",3,1,2,2.7106978623711,0.335272698399348
"S0007",1,2,2,3.5049655370639,0.00180736227688008
"S0007",2,2,2,2.68446992472856,-0.191885581988269
"S0007",3,2,2,3.06824108870509,-0
"S0105",1,1,1,1.60594659288508,0.0321389625232514
"S0105",2,1,1,2.30069876075202,-0
"S0105",3,1,1,1.29741547340617,-0.025782013492997
"S0105",1,2,1,2.22151856519867,0.52135080126211
"S0105",2,2,1,1.99791817565566,-0.111812528808955
"S0105",3,2,1,1.63912579149068,0.330786484630669
"S0105",1,1,2,2.17550991474379,-0.354658083266817
"S0105",2,1,2,1.83134014948609,-0.549563717942477
"S0105",3,1,2,1.03531264587869,0.0869290236438899
"S0105",1,2,2,2.20290264028975,-0.398658369820616
"S0105",2,2,2,1.30766006498618,-0.496519347882919
"S0105",3,2,2,1.86273186742165,-0.931365933710826
"S0004",1,1,1,2.02435159469788,-0.00324491409269464
"S0004",2,1,1,0.993129114160457,-0.177925193115853
"S0004",3,1,1,1.16326616131075,-0.0928566695407061
"S0004",1,2,1,3.17797065785076,-0.163990356591185
"S0004",2,2,1,1.46898874434038,-0.415855008205817
"S0004",3,2,1,0.831800434806253,0.258589532792956
"S0004",1,1,2,2.87101354492249,0.31812613570146
"S0004",2,1,2,2.456840359026,0.605494456302913
"S0004",3,1,2,2.3523803517044,0.289043616833323
"S0004",1,2,2,2.56986082886997,0.47165999563534
"S0004",2,2,2,2.74987842644053,0.487792654201388
"S0004",3,2,2,2.70435310099457,0.510555316924369
"S0122",1,1,1,1.28052717780912,-0.00199889410178387
"S0122",2,1,1,0.887146559018876,0.443573279509438
"S0122",3,1,1,2.30069876075202,-0
"S0122",1,2,1,2.86749724512379,-0.312983447816362
"S0122",2,2,1,2.68446992472856,-0.191885581988269
"S0122",3,2,1,2.37574177792546,0.346249655389816
