sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,dis_dPrime_sub,dis_crit_sub
"S0005",1,1,1,1.39824527687079,0.143115845676761
"S0005",2,1,1,2.03749593939488,0.131601410678566
"S0005",3,1,1,1.10521704949154,0.121881225450312
"S0005",1,2,1,2.39166385262425,-0.192690053191551
"S0005",2,2,1,2.3523803517044,-0.289043616833323
"S0005",3,2,1,3.7254637348433,-0
"S0005",1,1,2,2.53460102004004,-0.354896074308446
"S0005",2,1,2,2.29322555122675,-0.622212262905333
"S0005",3,1,2,2.19955233781416,-0.669048869611625
"S0005",1,2,2,2.39197889166246,-0.327643821311097
"S0005",2,2,2,2.3882325050629,-0.306969693512574
"S0005",3,2,2,2.99935433703807,-0.0344433758335119
"S0071",1,1,1,2.8158702743153,-0.0130771303368907
"S0071",2,1,1,1.16326616131075,0.0928566695407061
"S0071",3,1,1,1.34897950039216,-0
"S0071",1,2,1,2.42051652425614,-0.429412229886339
"S0071",2,2,1,2.20861029454863,-0.429815397078232
"S0071",3,2,1,2.03749593939488,-0.131601410678566
"S0071",1,1,2,2.8518906600637,0.330645080038479
"S0071",2,1,2,1.9523928502097,0.134575191531936
"S0071",3,1,2,2.9446862524527,0.361571509589564
"S0071",1,2,2,2.57730056476642,0.128590229783728
"S0071",2,2,2,3.03520649039657,-0.0165172991542608
"S0071",3,2,2,3.33686363509174,-0.134311273193322
"S0149",1,1,1,3.28306837598676,-0.00153508465590615
"S0149",2,1,1,1.46898874434038,-0.415855008205817
"S0149",3,1,1,1.516110983769,0.0835657416884162
"S0149",1,2,1,2.85262716523436,-0.320418487761075
"S0149",2,2,1,2.20861029454863,-0.429815397078232
"S0149",3,2,1,1.63912579149068,-0.330786484630669
"S0149",1,1,2,2.01084348808636,0.334289392530789
"S0149",2,1,2,2.53280431656366,0.198831634403691
"S0149",3,1,2,2.7106978623711,0.335272698399348
"S0149",1,2,2,3.5049655370639,0.00180736227688008
"S0149",2,2,2,2.68446992472856,-0.191885581988269
"S0149",3,2,2,3.06824108870509,-0
"S0013",1,1,1,2.31042262832472,0.37479559521506
"S0013",2,1,1,3.01308124779766,0.356191243522822
"S0013",3,1,1,2.02289695546722,0.522672066618939
"S0013",1,2,1,2.06686674202605,0.177891616280416
"S0013",2,2,1,3.7254637348433,-0
"S0013",3,2,1,2.42126710337142,0.323486992666835
"S0013",1,1,2,2.17550991474379,-0.354658083266817
"S0013",2,1,2,1.83134014948609,-0.549563717942477
"S0013",3,1,2,1.03531264587869,0.0869290236438899
"S0013",1,2,2,2.20290264028975,-0.398658369820616
"S0013",2,2,2,1.30766006498618,-0.496519347882919
"S0013",3,2,2,1.86273186742165,-0.931365933710826
"S0015",1,1,1,1.94898027851445,0.0393711708355841
"S0015",2,1,1,1.63912579149068,0.330786484630669
"S0015",3,1,1,0.993129114160457,0.177925193115853
"S0015",1,2,1,3.50509345302862,-0.110185140907328
"S0015",2,2,1,3.06824108870509,-0
"S0015",3,2,1,2.30069876075202,-0
"S0015",1,1,2,2.87101354492249,0.31812613570146
"S0015",2,1,2,2.456840359026,0.605494456302913
"S0015",3,1,2,2.3523803517044,0.289043616833323
"S0015",1,2,2,2.56986082886997,0.47165999563534
"S0015",2,2,2,2.74987842644053,0.487792654201388
"S0015",3,2,2,2.70435310099457,0.510555316924369
"S0018",1,1,1,2.64303799455355,0.298434815353489
"S0018",2,1,1,1.99791817565566,-0.111812528808955
"S0018",3,1,1,1.16326616131075,0.0928566695407061
"S0018",1,2,1,2.93184404817838,0.167941436069413
"S0018",2,2,1,3.01308124779766,-0.356191243522822
"S0018",3,2,1,2.03749593939488,0.131601410678566
"S0018",1,1,2,3.347582091004,0.188940821919642
"S0018",2,1,2,2.83639556239685,0.350627257320282
"S0018",3,1,2,2.44615310505905,0.203000319743323
"S0018",1,2,2,3.37146737320869,-0.176998180817294
"S0018",2,2,2,3.36803518016846,0.149897045731684
"S0018",3,2,2,2.90148515969406,-0.383172055968886
"S0111",1,1,1,2.79838830945771,-0.00312740846925815
"S0111",2,1,1,2.68446992472856,0.191885581988269
"S0111",3,1,1,2.456840359026,0.605494456302913
"S0111",1,2,1,2.77438567536162,0.217088560234451
"S0111",2,2,1,3.3968524117742,-0.164305661534553
"S0111",3,2,1,2.42126710337142,0.323486992666835
"S0111",1,1,2,2.83813699401056,-0.331935520572872
"S0111",2,1,2,3.7254637348433,-0
"S0111",3,1,2,2.98426401619192,-0.341782627719953
"S0111",1,2,2,3.15739903636502,-0.171975888072569
"S0111",2,2,2,2.74987842644053,-0.487792654201388
"S0111",3,2,2,3.06824108870509,-0
"S0070",1,1,1,2.81418067349878,0.112152830437449
"S0070",2,1,1,2.68446992472856,0.191885581988269
"S0070",3,1,1,1.56163630921496,0.106328404411397
"S0070",1,2,1,3.18417502649854,0.270644354172372
"S0070",2,2,1,2.68446992472856,0.191885581988269
"S0070",3,2,1,2.53722161761773,0.594121058612785
"S0070",1,1,2,1.62345641010796,-0.191117833445834
"S0070",2,1,2,1.86169746635912,-0.0892274996066437
"S0070",3,1,2,1.22236590703883,-0.180455654223959
"S0070",1,2,2,2.18364355051968,-0.315371208124834
"S0070",2,2,2,1.34897950039216,-0
"S0070",3,2,2,1.58473767995115,-0.708717106068448
"S0085",1,1,1,2.10234135928388,0.149363295887433
"S0085",2,1,1,2.03749593939488,0.131601410678566
"S0085",3,1,1,2.03749593939488,0.131601410678566
"S0085",1,2,1,3.18346621397821,0.163214246465877
"S0085",2,2,1,3.01308124779766,0.356191243522822
"S0085",3,2,1,2.30069876075202,-0
"S0085",1,1,2,2.99845839090603,0.133650778458755
"S0085",2,1,2,1.9523928502097,-0.134575191531936
"S0085",3,1,2,1.90919175745106,-0.112974645152614
"S0085",1,2,2,3.27524155951875,0.00676293818218262
"S0085",2,2,2,3.32796566010717,0.198749037368064
"S0085",3,2,2,3.69664650323757,-0.0144086158028687
