sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,det_dPrime_sub,det_crit_sub,dis_dPrime_sub,dis_crit_sub
"S0001",1,1,1,4.20643168445221,-0.0506588518353258,3.04351563910615,-0.110133972667114
"S0001",2,1,1,4.01660656148311,-0.145571413319902,2.20861029454863,-0.429815397078232
"S0001",3,1,1,3.687995238414,-0.309877074854455,0.887146559018876,-0.443573279509438
"S0001",1,2,1,3.46228983910058,-0.422729774511185,2.39297100167845,-0.101467282037663
"S0001",2,2,1,2.93029645520938,-0.688726466456764,2.03749593939488,-0.131601410678566
"S0001",3,2,1,4.01660656148311,-0.145571413319902,2.68446992472856,0.191885581988269
"S0001",1,1,2,4.10407400663328,0.101837690744785,2.53460102004004,-0.354896074308446
"S0001",2,1,2,2.73300685631701,0.78737126590295,2.29322555122675,-0.622212262905333
"S0001",3,1,2,3.30422407443746,0.501762656842724,2.19955233781416,-0.669048869611625
"S0001",1,2,2,4.30774938812285,-0,2.39197889166246,-0.327643821311097
"S0001",2,2,2,4.01660656148311,0.145571413319902,2.3882325050629,-0.306969693512574
"S0001",3,2,2,3.3968524117742,0.164305661534553,2.99935433703807,-0.0344433758335119
"S0004",1,1,1,3.15821968288011,-0.57476485262142,2.02435159469788,-0.00324491409269464
"S0004",2,1,1,3.30422407443746,-0.501762656842724,0.993129114160457,-0.177925193115853
"S0004",3,1,1,2.73300685631701,-0.78737126590295,1.16326616131075,-0.0928566695407061
"S0004",1,2,1,2.63482805197907,-0.836460668071912,3.17797065785076,-0.163990356591185
"S0004",2,2,1,2.07546228132834,-1.11614355339728,1.46898874434038,-0.415855008205817
"S0004",3,2,1,2.93029645520938,-0.688726466456764,0.831800434806253,0.258589532792956
"S0004",1,1,2,4.10623301705385,0.100758185534505,2.8518906600637,0.330645080038479
"S0004",2,1,2,3.687995238414,0.309877074854455,1.9523928502097,0.134575191531936
"S0004",3,1,2,3.687995238414,0.309877074854455,2.9446862524527,0.361571509589564
"S0004",1,2,2,4.10520971458821,0.101269836767323,2.57730056476642,0.128590229783728
"S0004",2,2,2,4.01660656148311,0.145571413319902,3.03520649039657,-0.0165172991542608
"S0004",3,2,2,3.687995238414,0.309877074854455,3.33686363509174,-0.134311273193322
"S0005",1,1,1,3.25211731009327,-0.431156620570413,1.39824527687079,0.143115845676761
"S0005",2,1,1,3.16386486331104,-0.571942262405937,2.03749593939488,0.131601410678566
"S0005",3,1,1,3.18074276472519,-0.272360485059058,1.10521704949154,0.121881225450312
"S0005",1,2,1,2.71253200036357,-0.699784704128695,2.39166385262425,-0.192690053191551
"S0005",2,2,1,2.20861029454863,-0.429815397078232,2.3523803517044,-0.289043616833323
"S0005",3,2,1,3.47188559136499,-0.41793189837896,3.7254637348433,-0
"S0005",1,1,2,3.13174505922872,0.495127602749014,2.01084348808636,0.334289392530789
"S0005",2,1,2,3.30422407443746,0.501762656842724,2.53280431656366,0.198831634403691
"S0005",3,1,2,2.53722161761773,0.594121058612785,2.7106978623711,0.335272698399348
"S0005",1,2,2,3.99806054923997,0.0546912870773521,3.5049655370639,0.00180736227688008
"S0005",2,2,2,4.30774938812291,-0,2.68446992472856,-0.191885581988269
"S0005",3,2,2,4.30774938812291,-0,3.06824108870509,-0
"S0007",1,1,1,2.04384846351179,-1.13195046230554,1.74024337695541,-0.41103029346172
"S0007",2,1,1,2.39107680339024,-0.958336292366334,1.82483913057209,-0.237929815089963
"S0007",3,1,1,2.55612475938318,-0.875812314369866,1.46898874434038,-0.415855008205817
"S0007",1,2,1,2.41973788288046,-0.845599477216962,2.39604360138489,0.00217157846839943
"S0007",2,2,1,2.47251405802583,-0.917617665048541,1.77429311803775,-0
"S0007",3,2,1,2.39107680339024,-0.958336292366334,3.3968524117742,-0.164305661534553
"S0007",1,1,2,3.19218089783953,0.557784245141716,2.17550991474379,-0.354658083266817
"S0007",2,1,2,3.30422407443746,0.501762656842724,1.83134014948609,-0.549563717942477
"S0007",3,1,2,2.47251405802583,0.917617665048541,1.03531264587869,0.0869290236438899
"S0007",1,2,2,4.21633054055796,0.0457094237824492,2.20290264028975,-0.398658369820616
"S0007",2,2,2,4.30774938812291,-0,1.30766006498618,-0.496519347882919
"S0007",3,2,2,4.30774938812291,-0,1.86273186742165,-0.931365933710826
"S0013",1,1,1,3.83576983422078,-0.235989776951051,2.31042262832472,0.37479559521506
"S0013",2,1,1,4.30774938812291,-0,3.01308124779766,0.356191243522822
"S0013",3,1,1,4.01660656148311,-0.145571413319902,2.02289695546722,0.522672066618939
"S0013",1,2,1,4.30774938812285,-0,2.06686674202605,0.177891616280416
"S0013",2,2,1,4.30774938812291,-0,3.7254637348433,-0
"S0013",3,2,1,4.30774938812291,-0,2.42126710337142,0.323486992666835
"S0013",1,1,2,4.21400139794484,0.0468739950890084,2.87101354492249,0.31812613570146
"S0013",2,1,2,3.687995238414,0.309877074854455,2.456840359026,0.605494456302913
"S0013",3,1,2,3.687995238414,0.309877074854455,2.3523803517044,0.289043616833323
"S0013",1,2,2,3.89344076402131,0.108748036646526,2.56986082886997,0.47165999563534
"S0013",2,2,2,4.30774938812291,-0,2.74987842644053,0.487792654201388
"S0013",3,2,2,4.01660656148311,0.145571413319902,2.70435310099457,0.510555316924369
"S0015",1,1,1,3.14804981404341,-0.579849787039769,1.94898027851445,0.0393711708355841
"S0015",2,1,1,4.01660656148311,-0.145571413319902,1.63912579149068,0.330786484630669
"S0015",3,1,1,4.01660656148311,-0.145571413319902,0.993129114160457,0.177925193115853
"S0015",1,2,1,3.18555741284374,-0.561095987639608,3.50509345302862,-0.110185140907328
"S0015",2,2,1,4.01660656148311,-0.145571413319902,3.06824108870509,-0
"S0015",3,2,1,2.73300685631701,-0.78737126590295,2.30069876075202,-0
"S0015",1,1,2,3.73832686518875,0.284711261467072,3.347582091004,0.188940821919642
"S0015",2,1,2,3.16386486331104,0.571942262405937,2.83639556239685,0.350627257320282
"S0015",3,1,2,3.04102125308033,0.63336406752129,2.44615310505905,0.203000319743323
"S0015",1,2,2,3.81864898618522,0.148473068177695,3.37146737320869,-0.176998180817294
"S0015",2,2,2,4.01660656148311,0.145571413319902,3.36803518016846,0.149897045731684
"S0015",3,2,2,3.47188559136499,0.41793189837896,2.90148515969406,-0.383172055968886
"S0018",1,1,1,3.66277157624872,-0.322488905937094,2.64303799455355,0.298434815353489
"S0018",2,1,1,3.7254637348433,-0,1.99791817565566,-0.111812528808955
"S0018",3,1,1,3.687995238414,-0.309877074854455,1.16326616131075,0.0928566695407061
"S0018",1,2,1,3.74409916935155,-0.281825109385672,2.93184404817838,0.167941436069413
"S0018",2,2,1,4.30774938812291,-0,3.01308124779766,-0.356191243522822
"S0018",3,2,1,4.30774938812291,-0,2.03749593939488,0.131601410678566
"S0018",1,1,2,3.91657854712511,0.195585420498878,2.83813699401056,-0.331935520572872
"S0018",2,1,2,4.30774938812291,-0,3.7254637348433,-0
"S0018",3,1,2,4.01660656148311,0.145571413319902,2.98426401619192,-0.341782627719953
"S0018",1,2,2,4.11755872394116,0.0950953320908458,3.15739903636502,-0.171975888072569
"S0018",2,2,2,4.30774938812291,-0,2.74987842644053,-0.487792654201388
"S0018",3,2,2,4.30774938812291,-0,3.06824108870509,-0
"S0019",1,1,1,3.59715905490558,-0.355295166608675,1.48784288752159,-0.367580563138545
"S0019",2,1,1,3.687995238414,-0.309877074854455,1.20578592298325,0.28425359752725
"S0019",3,1,1,4.30774938812291,-0,0.831710016411633,-0.734494372170192
"S0019",1,2,1,3.29849546446526,-0.504626961828852,1.52632008029704,-0.255992924480233
"S0019",2,2,1,2.47251405802583,-0.917617665048541,2.03749593939488,-0.131601410678566
"S0019",3,2,1,2.82836444425754,-0.739692471932687,0.807415775079045,-0.0850685235751472
"S0019",1,1,2,4.10939811965046,0.0991756342362003,1.62345641010796,-0.191117833445834
"S0019",2,1,2,3.01308124779766,0.356191243522822,1.86169746635912,-0.0892274996066437
"S0019",3,1,2,3.47188559136499,0.41793189837896,1.22236590703883,-0.180455654223959
"S0019",1,2,2,3.62199005315955,0.0526025790756155,2.18364355051968,-0.315371208124834
"S0019",2,2,2,4.01660656148311,-0.145571413319902,1.34897950039216,-0
"S0019",3,2,2,3.687995238414,0.309877074854455,1.58473767995115,-0.708717106068448
"S0070",1,1,1,3.84047172635621,-0.233638830883336,2.81418067349878,0.112152830437449
"S0070",2,1,1,3.687995238414,-0.309877074854455,2.68446992472856,0.191885581988269
"S0070",3,1,1,4.01660656148311,-0.145571413319902,1.56163630921496,0.106328404411397
"S0070",1,2,1,3.64683329728108,-0.330458045420918,3.18417502649854,0.270644354172372
"S0070",2,2,1,4.01660656148311,-0.145571413319902,2.68446992472856,0.191885581988269
