sdt_SID,sdt_Validity,sdt_Target,sdt_nontargetContrast,dis_over2N_dPrime,dis_over2N_crit
"S0001",1,1,1,2.82137896401627,-0.316071902132066
"S0001",2,1,1,2.43378669744603,-0.601752244127044
"S0001",3,1,1,1.46568940815529,-0.529300472545161
"S0001",1,2,1,2.30953172635567,-0.228228263922804
"S0001",2,2,1,2.1872999923823,-0.206503437172274
"S0001",3,2,1,2.81909684334756,0.0915375243702441
"S0001",1,1,2,3.11465852322288,-0.174335134510804
"S0001",2,1,2,2.20861029454863,-0.429815397078232
"S0001",3,1,2,0.887146559018876,-0.443573279509438
"S0001",1,2,2,2.31263401283315,-0.101844554646522
"S0001",2,2,2,2.03749593939488,-0.131601410678566
"S0001",3,2,2,2.68446992472856,0.191885581988269
"S0001",1,1,3,2.59421757811825,-0.424687743341936
"S0001",2,1,3,2.29322555122675,-0.622212262905333
"S0001",3,1,3,2.19955233781416,-0.669048869611625
"S0001",1,2,3,2.34633834585246,-0.360951371426317
"S0001",2,2,3,2.3882325050629,-0.306969693512574
"S0001",3,2,3,2.99935433703807,-0.0344433758335119
"S0004",1,1,1,2.31528564839897,0.154494856536952
"S0004",2,1,1,1.40205270744464,-0.051702440535852
"S0004",3,1,1,1.85406298602592,0.0621371343276763
"S0004",1,2,1,2.82629345084889,-0.0301525983238073
"S0004",2,2,1,2.07073969156171,-0.282641051522683
"S0004",3,2,1,1.73790346013123,0.141038439183969
"S0004",1,1,2,1.9348431322034,-0
"S0004",2,1,2,0.993129114160457,-0.177925193115853
"S0004",3,1,2,1.16326616131075,-0.0928566695407061
"S0004",1,2,2,3.41982825880203,-0.326920002300375
"S0004",2,2,2,1.46898874434038,-0.415855008205817
"S0004",3,2,2,0.831800434806253,0.258589532792956
"S0004",1,1,3,3.06907605669002,0.493531116588895
"S0004",2,1,3,1.9523928502097,0.134575191531936
"S0004",3,1,3,2.9446862524527,0.361571509589564
"S0004",1,2,3,2.50733235866928,0.129327947766
"S0004",2,2,3,3.03520649039657,-0.0165172991542608
"S0004",3,2,3,3.33686363509174,-0.134311273193322
"S0005",1,1,1,1.5783744785201,0.209013932892836
"S0005",2,1,1,2.2489731316463,0.15706499972145
"S0005",3,1,1,1.71889854506868,0.184959522338257
"S0005",1,2,1,2.92680398315125,-0.151264310839188
"S0005",2,2,1,2.51107611529361,-0.245547888397221
"S0005",3,2,1,3.7254637348433,-0
"S0005",1,1,2,1.34274756168898,0.140844020655423
"S0005",2,1,2,2.03749593939488,0.131601410678566
"S0005",3,1,2,1.10521704949154,0.121881225450312
"S0005",1,2,2,2.33894203890453,-0.202049453350565
"S0005",2,2,2,2.3523803517044,-0.289043616833323
"S0005",3,2,2,3.7254637348433,-0
"S0005",1,1,3,1.91903572650698,0.322033702291112
"S0005",2,1,3,2.53280431656366,0.198831634403691
"S0005",3,1,3,2.7106978623711,0.335272698399348
"S0005",1,2,3,4.05613828986781,4.44089209850063e-16
"S0005",2,2,3,2.68446992472856,-0.191885581988269
"S0005",3,2,3,3.06824108870509,-0
"S0007",1,1,1,1.88545154893208,-0.386092153398831
"S0007",2,1,1,1.80595207825264,-0.37857552641828
"S0007",3,1,1,1.27234853286837,-0.205446967138728
"S0007",1,2,1,2.19333241455127,-0.209519648256761
"S0007",2,2,1,1.49876658036425,-0.260606879067456
"S0007",3,2,1,2.73300685631701,-0.78737126590295
