SID,Validity,Target,targetContrast,nontargetContrast,Acc,RT
"S0004",1,1,1,1,83.3333333333333,0.223596436281999
"S0004",2,1,1,1,68.75,0.277428634464741
"S0004",3,1,1,1,71.875,0.832930102944374
"S0004",1,2,1,1,94.7916666666667,0.216797977685928
"S0004",2,2,1,1,75,0.483976632356644
"S0004",3,2,1,1,65.625,0.797756403684616
"S0004",1,1,0,1,83.3333333333333,0.454431573549906
"S0004",2,1,0,1,87.5,0.512914016842842
"S0004",3,1,0,1,71.875,0.678826555609703
"S0004",1,2,0,1,67.7083333333333,0.224009583393733
"S0004",2,2,0,1,46.875,0.212962485849857
"S0004",3,2,0,1,78.125,0.473973944783211
"S0004",1,1,1,0,89.5833333333333,0.190702505409718
"S0004",2,1,1,0,78.125,0.144460640847683
"S0004",3,1,1,0,87.5,0.684996284544468
"S0004",1,2,1,0,87.5,0.298586015899976
"S0004",2,2,1,0,90.625,0.272686682641506
"S0004",3,2,1,0,90.625,0.684707500040531
"S0004",1,1,0,0,100,0.161241667966048
"S0004",2,1,0,0,100,0.190942816436291
"S0004",3,1,0,0,100,0.142843015491962
"S0004",1,2,0,0,100,0.234458662569523
"S0004",2,2,0,0,100,0.161707982420921
"S0004",3,2,0,0,100,0.249787032604218
"S0005",1,1,1,1,73.9583333333333,0.143102429807186
"S0005",2,1,1,1,84.375,0.18699873238802
"S0005",3,1,1,1,68.75,0.31270058453083
"S0005",1,2,1,1,86.4583333333333,0.0831402490536372
"S0005",2,2,1,1,81.25,0.0904407575726509
"S0005",3,2,1,1,100,0.178199715912342
"S0005",1,1,0,1,87.5,0.163840581973394
"S0005",2,1,0,1,84.375,0.130374856293201
"S0005",3,1,0,1,90.625,0.208258159458637
"S0005",1,2,0,1,73.9583333333333,0.0833260392149289
"S0005",2,2,0,1,75,0.0983074679970741
"S0005",3,2,0,1,90.625,0.143034845590591
"S0005",1,1,1,0,69.7916666666667,0.125425256788731
"S0005",2,1,1,0,78.125,0.285914093255997
"S0005",3,1,1,0,68.75,0.287239275872707
"S0005",1,2,1,0,95.8333333333333,0.0845240727066994
"S0005",2,2,1,0,90.625,0.0823573470115662
"S0005",3,2,1,0,93.75,0.154630020260811
"S0005",1,1,0,0,98.9583333333333,0.0733395119508107
"S0005",2,1,0,0,100,0.100344955921173
"S0005",3,1,0,0,96.875,0.137915134429932
"S0005",1,2,0,0,98.9583333333333,0.0805435205499331
"S0005",2,2,0,0,100,0.118340365588665
"S0005",3,2,0,0,100,0.136822804808617
"S0007",1,1,1,1,78.125,0.735830674568812
"S0007",2,1,1,1,81.25,0.84561887383461
"S0007",3,1,1,1,75,0.768332868814468
"S0007",1,2,1,1,86.4583333333333,0.534442879259586
"S0007",2,2,1,1,81.25,0.485429167747498
"S0007",3,2,1,1,96.875,0.525043353438377
"S0007",1,1,0,1,45.8333333333333,0.559732173879941
"S0007",2,1,0,1,59.375,0.546648636460304
"S0007",3,1,0,1,65.625,0.633337959647179
"S0007",1,2,0,1,63.5416666666667,0.417757548391819
"S0007",2,2,0,1,62.5,0.451611213386059
"S0007",3,2,0,1,59.375,0.449869550764561
"S0007",1,1,1,0,70.8333333333333,0.639164624114831
"S0007",2,1,1,0,68.75,0.657958745956421
"S0007",3,1,1,0,43.75,0.880121909081936
"S0007",1,2,1,0,83.3333333333333,0.488671528796355
"S0007",2,2,1,0,71.875,0.423889175057411
"S0007",3,2,1,0,75,0.515141949057579
"S0007",1,1,0,0,100,0.408008622626464
"S0007",2,1,0,0,100,0.445140682160854
"S0007",3,1,0,0,100,0.434991538524628
"S0007",1,2,0,0,100,0.294385768473148
"S0007",2,2,0,0,100,0.239367969334126
"S0007",3,2,0,0,100,0.357290670275688
