sdt_SID,sdt_Validity,sdt_Target,sdt_nontargetContrast,det_dPrime,det_crit,dis_dPrime,dis_crit
"S0004",1,1,1,3.52499083617774,-0.393448009132753,2.25493133559119,0.160044101693892
"S0004",2,1,1,3.16489275442971,-0.100901886788752,1.3005887625425,-0.0241953689248303
"S0004",3,1,1,2.73642092353887,-0.315137802234175,1.72320351744897,0.085179997576559
"S0004",1,2,1,3.1372839000079,-0.587301477217673,2.73279683646835,-0.010896607132042
"S0004",2,2,1,2.48474775171488,-0.627232771261464,1.89346322802385,-0.222217230519558
"S0004",3,2,1,2.88172796631053,-0.242484280848342,1.61674547928817,0.159048826457618
"S0004",1,1,2,3.26865517260919,-0.680569649155482,1.84199772027909,0.0195447804658695
"S0004",2,1,2,2.97316212398811,-0.389777499900541,0.840701995594755,-0.12104408733171
"S0004",3,1,2,2.43595083612203,-0.658383143833582,0.999247016141583,-0.0417715770582965
"S0004",1,2,2,2.76937563410899,-0.93020941840558,3.07081970720393,-0.205880746423232
"S0004",2,2,2,1.80032693877421,-0.976195092507492,1.22820640211294,-0.314796290590802
"S0004",3,2,2,2.6242171566579,-0.564249983565647,0.702695491440463,0.277556471911959
"S0004",1,1,3,4.43260821070829,0.348975191914381,2.83015343352335,0.447655150659975
"S0004",2,1,3,3.50128448901127,0.415464508386696,1.68447991944566,0.16775020952675
"S0004",3,1,3,3.50128448901127,0.415464508386696,2.74987842644053,0.487792654201388
"S0004",1,2,3,4.43260821070829,0.348975191914381,2.37053601893485,0.144261097711307
"S0004",2,2,3,3.71581265362892,0.30820042607787,2.50484233005935,0.0655897322738593
"S0004",3,2,3,3.50128448901127,0.415464508386696,2.85278818597469,-0.0746918530566817
"S0005",1,1,1,2.86199299057258,0.0451805389800346,1.53915572959225,0.212944243728914
"S0005",2,1,1,2.80075656646082,-0.025698589042436,2.07612648960663,0.173168886118031
"S0005",3,1,1,2.50162072321231,0.230734128819951,1.58670500801061,0.198173970672026
"S0005",1,2,1,3.13149702216469,-0.473243977718948,2.81630268395974,-0.120641572490386
"S0005",2,2,1,2.80611056219455,-0.280292982906333,2.26757499946512,-0.166365933630861
"S0005",3,2,1,3.76869710573577,-0.275695870316399,3.24032753032149,0.0704578644241542
"S0005",1,1,2,3.17290604918007,-0.454684963529063,1.28041501885804,0.151431098314353
"S0005",2,1,2,2.8437801279963,-0.454468497896447,1.77065368194631,0.163804556990814
"S0005",3,1,2,2.79745975608791,-0.150976022692633,0.947543581596565,0.155132426833907
"S0005",1,2,2,2.67560943402301,-0.703333271107593,2.19870520166851,-0.158808960228841
"S0005",2,2,2,1.98601504256341,-0.34217021483723,1.93156370496917,-0.144989764152203
"S0005",3,2,2,3.12411241724592,-0.314302353271635,3.45423643169523,0.162391744485816
"S0005",1,1,3,3.17473739682005,0.57063125974586,1.81343342253513,0.321109550043707
"S0005",2,1,3,3.1960635151177,0.56807499533348,2.12317279911752,0.219965165985843
"S0005",3,1,3,2.29520697616814,0.54301814150083,2.52330300386562,0.470012894189435
"S0005",1,2,3,4.02532887159565,0.145335522358061,3.5943962635439,0.065533735649703
"S0005",2,2,3,4.04246531478693,0.144874095498867,2.23596283071979,-0.0688500173959233
"S0005",3,2,3,4.04246531478693,0.144874095498867,2.53853367268648,0.0824354035874217
"S0007",1,1,1,1.99252886975977,-0.389551521426369,1.81856418601614,-0.359425272384125
"S0007",2,1,1,2.24053139406663,-0.305811175239532,1.63691126241097,-0.312521977039673
"S0007",3,1,1,1.76877605903619,0.0427667959451822,1.15072924697621,-0.160951293888027
"S0007",1,2,1,3.05640315514755,-0.62774184964785,2.12735958285504,-0.1884397288377
"S0007",2,2,1,3.02946819647317,-0.645310324947699,1.38124698952965,-0.217834373772559
"S0007",3,2,1,2.97449894497807,-0.67279495069525,2.43595083612203,-0.658383143833582
"S0007",1,1,2,2.21134635936963,-1.20922405577526,1.58422256726859,-0.370720006566488
"S0007",2,1,2,2.10624267947383,-0.823237222157682,1.55780370927946,-0.14999763700754
"S0007",3,1,2,2.26577285974674,-0.743472132021226,1.22820640211294,-0.314796290590802
"S0007",1,2,2,2.38365909455995,-0.849308440839121,2.16840966712674,0.0297323817933178
"S0007",2,2,2,2.18502436758953,-0.783846378099831,1.54231437231472,0.0496349021750187
"S0007",3,2,2,2.10624267947383,-0.823237222157682,2.91642871129246,-0.106512115715569
"S0007",1,1,3,3.53960084859387,0.795478872971589,1.97445191077219,-0.294325610158506
"S0007",2,1,3,3.1960635151177,0.56807499533348,1.45146644372458,-0.385038394774495
"S0007",3,1,3,2.43517289074664,0.948520307519008,0.801869385833898,0.147587589781149
"S0007",1,2,3,4.60641728538762,0.262070654574714,2.04151407764898,-0.362237088276151
"S0007",2,2,3,4.04246531478693,0.144874095498867,1.07688660137311,-0.390456190960716
"S0007",3,2,3,4.04246531478693,0.144874095498867,1.5647264713618,-0.782363235680899
"S0013",1,1,1,4.2163005470669,-0.204799721498049,2.53238310491517,0.409748170315861
"S0013",2,1,1,4.10654445901215,0.369923965502468,2.93029645520938,0.688726466456764
"S0013",3,1,1,3.67733186989215,0.155317670942468,2.00533040771381,0.39807985727367
"S0013",1,2,1,4.45844146079978,0.190228241598599,2.18644015170117,0.324577062145681
"S0013",2,2,1,4.58324061819283,0.13157588591213,3.33505559742381,0.498578954180424
"S0013",3,2,1,4.29280284212745,0.276794773944821,2.46704339073283,0.457099934218485
"S0013",1,1,2,3.89798236779288,-0.365906051563633,2.15586724679823,0.387300169286408
"S0013",2,1,2,4.04246531478693,0.144874095498867,2.8184094519807,0.48030523434308
"S0013",3,1,2,3.56698019147949,-0.0928684661548487,1.72909418375922,0.487155148051054
"S0013",1,2,2,4.8801765327286,0.125191030904225,1.87105451292755,0.178409958892914
"S0013",2,2,2,4.04246531478693,0.144874095498867,3.45423643169523,0.162391744485816
"S0013",3,2,2,4.04246531478693,0.144874095498867,2.073224523913,0.315089977974159
"S0013",1,1,3,4.60641728538762,0.262070654574714,2.84385786358383,0.440802935629738
"S0013",2,1,3,3.50128448901127,0.415464508386696,2.35150827853632,0.686977728153491
"S0013",3,1,3,3.50128448901127,0.415464508386696,2.00307384952694,0.280014640781129
"S0013",1,2,3,3.89450696340301,0.210746476454379,2.58833009761621,0.568566818613545
"S0013",2,2,3,4.04246531478693,0.144874095498867,2.61103224431577,0.583993838175544
"S0013",3,2,3,3.71581265362892,0.30820042607787,2.56399971052951,0.607510105068674
"S0015",1,1,1,3.16476866167899,-0.213336921883377,2.42528919583323,0.131358551680643
"S0015",2,1,1,3.32066111292358,0.333653049426756,2.0323180402871,0.366835106957086
"S0015",3,1,1,3.2328779854699,0.377544613153592,1.42713530435191,0.189167139467912
"S0015",1,2,1,3.31372767977264,-0.2878164309302,3.88096280122257,-0.362558543978499
"S0015",2,2,1,3.86359025300745,0.0621884793848205,3.01111745889238,0.170380993327254
"S0015",3,2,1,2.5950589583897,-0.244456819659594,2.37542512578992,-0.130298334408578
"S0015",1,1,2,3.26865517260919,-0.680569649155482,1.76767384644705,0.0567067173818928
"S0015",2,1,2,3.56698019147949,-0.0928684661548487,1.42652334179253,0.335869727067709
"S0015",3,1,2,3.56698019147949,-0.0928684661548487,0.851912048572557,0.202948193345912
"S0015",1,2,2,3.31020288917982,-0.659795790870166,3.680430256675,-0.205175861535788
"S0015",2,2,2,3.56698019147949,-0.0928684661548487,2.53853367268648,0.0824354035874217
"S0015",3,2,2,2.43595083612203,-0.658383143833582,1.97803088961124,0.0601159531583503
"S0015",1,1,3,4.02513441382127,0.552712090357891,3.65066882216467,0.477705533507447
"S0015",2,1,3,3.07456462142971,0.628824442177472,2.6443643243121,0.480560928583138
"S0015",3,1,3,2.96518951502751,0.683511995378575,2.0335053995867,0.225114092049973
"S0015",1,2,3,3.78804118731021,0.263979364500782,3.47349380343918,-0.282339298863551
"S0015",2,2,3,3.71581265362892,0.30820042607787,3.04956330017747,0.337950217332917
"S0015",3,2,3,3.33505559742381,0.498578954180424,2.50154211045425,-0.283349489125423
"S0018",1,1,1,3.70875019557104,-0.0903051730310009,2.53350551411642,0.0207570124312739
"S0018",2,1,1,3.86359025300745,0.0621884793848205,2.56576475265486,-0.0351285209761061
"S0018",3,1,1,3.63843168563761,-0.050390804300098,1.73964159329357,-0.017325762372091
"S0018",1,2,1,3.98522449751345,-0.163331178464899,2.9473232341449,0.0247720352697622
"S0018",2,2,1,4.58324061819283,0.13157588591213,2.8437801279963,-0.454468497896447
"S0018",3,2,1,4.58324061819283,0.13157588591213,2.27771061757669,0.108898546562978
"S0018",1,1,2,3.73823185648805,-0.445781307216047,2.53649334647539,0.366792593564017
"S0018",2,1,2,3.24032753032149,0.0704578644241542,1.70793864735126,-0.0331772353432478
"S0018",3,1,2,3.31055872158097,-0.221079201104108,1.00629616146074,0.125756136901818
"S0018",1,2,2,3.81333088780229,-0.408231791558932,2.79787055700249,0.236103988300465
"S0018",2,2,2,4.04246531478693,0.144874095498867,2.61385786932577,-0.257797536698914
"S0018",3,2,2,4.04246531478693,0.144874095498867,1.77065368194631,0.163804556990814
"S0018",1,1,3,4.19532052642285,0.467619034057101,2.72166547575931,-0.350842568630074
"S0018",2,1,3,4.04246531478693,0.144874095498867,3.45423643169523,0.162391744485816
"S0018",3,1,3,3.71581265362892,0.30820042607787,2.58325194231652,-0.242494573194288
"S0018",1,2,3,4.43260821070829,0.348975191914381,3.05132563957979,-0.196133712611165
"S0018",2,2,3,4.04246531478693,0.144874095498867,2.38551855969418,-0.371967191514709
"S0018",3,2,3,4.04246531478693,0.144874095498867,2.53853367268648,0.0824354035874217
"S0019",1,1,1,3.86154169805732,-0.225172578192963,1.44153829938838,-0.246652416407513
"S0019",2,1,1,3.03472955482433,0.0912879051393192,1.35491139091344,0.153055182748679
"S0019",3,1,1,3.96518249386299,0.440604948077049,0.90407044418838,-0.412859136591093
"S0019",1,2,1,3.31372767977264,-0.2878164309302,1.71010213062794,-0.246094443059882
"S0019",2,2,1,2.97449894497807,-0.67279495069525,1.54694135689848,-0.0256120836859382
"S0019",3,2,1,2.80611056219455,-0.280292982906333,0.97352084544224,-0.289661338426808
"S0019",1,1,2,3.67039904656221,-0.47969771217897,1.34723235296275,-0.307509819680803
"S0019",2,1,2,3.31055872158097,-0.221079201104108,1.04379991927275,0.298892128696007
"S0019",3,1,2,4.04246531478693,0.144874095498867,0.629592581181604,-0.614103201056469
"S0019",1,2,2,3.39892945049209,-0.61543251021403,1.37945006675227,-0.211729046297543
"S0019",2,2,2,2.18502436758953,-0.783846378099831,1.74969157997965,-0.0540537016574451
"S0019",3,2,2,2.52719586833907,-0.612760627725059,0.676698854294221,-0.0390425166814435
"S0019",1,1,3,4.43260821070829,0.348975191914381,1.46627872127443,-0.15400719838166
"S0019",2,1,3,2.72057839181027,0.330332433679765,1.5680603688913,-0.00760842329772354
"S0019",3,1,3,3.33505559742381,0.498578954180424,1.02517578853181,-0.110337828944181
"S0019",1,2,3,3.42811733304795,0.0840174373696547,2.00274804856279,-0.256787536781704
"S0019",2,2,3,3.56698019147949,-0.0928684661548487,1.17029930276128,0.0437545662515509
"S0019",3,2,3,3.50128448901127,0.415464508386696,1.22876179310912,-0.535968483821448
"S0070",1,1,1,3.86827355909312,-0.104855709254733,2.82908087695975,0.168544693852936
"S0070",2,1,1,3.29200094655509,-0.0373477907260611,2.08750573628986,0.0337626988953491
"S0070",3,1,1,3.53596990474299,0.225998653517049,1.58323967246357,0.0388910419736147
"S0070",1,2,1,4.32755571375025,-0.399707932120608,3.33552237785858,0.279141587313131
"S0070",2,2,1,3.67733186989215,0.155317670942468,2.82159923783006,0.27982201066987
"S0070",3,2,1,3.24428634130688,-0.247463476465463,3.18383145628682,0.561958965918044
"S0070",1,1,2,3.89798236779288,-0.365906051563633,2.6280650828863,0.151201251242371
"S0070",2,1,2,3.31055872158097,-0.221079201104108,2.28060173157793,0.211401374141695
"S0070",3,1,2,3.56698019147949,-0.0928684661548487,1.36218717346147,0.139698501601646
"S0070",1,2,2,3.73823185648805,-0.445781307216047,3.48158926117861,0.577963340388526
"S0070",2,2,2,3.56698019147949,-0.0928684661548487,2.28060173157793,0.211401374141695
"S0070",3,2,2,2.8437801279963,-0.454468497896447,2.43090504546252,0.674057437602171
"S0070",1,1,3,3.89450696340301,0.210746476454379,2.8685338287704,0.20077235241651
"S0070",2,1,3,3.02579936570383,0.177721946732981,1.6635683201668,-0.0553623989354743
"S0070",3,1,3,3.33505559742381,0.498578954180424,1.61804299472084,-0.0325997362124934
"S0070",1,2,3,4.8801765327286,0.125191030904225,3.17961475236497,0.0452318906192277
"S0070",2,2,3,3.50128448901127,0.415464508386696,3.00028157697022,0.389369171848322
"S0070",3,2,3,3.71581265362892,0.30820042607787,3.42745833878345,0.149002698029926
"S0071",1,1,1,2.52635219934066,-0.193963967721128,2.1453331596217,-0.249698799088873
"S0071",2,1,1,2.35323169773613,-0.249461023404784,1.71092313968987,0.180971819648854
"S0071",3,1,1,2.28250434362629,-0.0184898736222052,1.72816996678425,-0.0805846080023509
"S0071",1,2,1,3.13233989629201,-0.229551304576869,2.64951773678497,-0.406905527729758
"S0071",2,2,1,2.5950589583897,-0.244456819659594,2.58613929023038,-0.2566362556214
"S0071",3,2,1,2.80611056219455,-0.280292982906333,2.3802081395926,0.0397546894202904
"S0071",1,1,2,2.61359808867675,-0.734338943780721,2.58801931237367,0.0240012411167005
"S0071",2,1,2,2.52719586833907,-0.612760627725059,1.00629616146074,0.125756136901818
"S0071",3,1,2,2.52719586833907,-0.612760627725059,1.17029930276128,0.0437545662515509
"S0071",1,2,2,3.26865517260919,-0.680569649155482,2.26805106010515,-0.41054995551068
"S0071",2,2,2,2.43595083612203,-0.658383143833582,1.81573565038801,-0.278963607561814
"S0071",3,2,2,2.72885359616929,-0.511931763809951,1.74969157997965,-0.0540537016574451
"S0071",1,1,3,3.67286394397902,0.728847325279013,1.7116777687991,-0.396280635865668
"S0071",2,1,3,2.27771061757669,0.108898546562978,2.68988964975807,0.457798265860157
