sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,det_dPrime_sub,det_crit_sub,dis_dPrime_sub,dis_crit_sub
"S0004",1,1,1,3.15370914495203,-0.577020121585459,2.05350898271199,0.0133906203074985
"S0004",2,1,1,3.30422407443746,-0.501762656842724,0.993129114160457,-0.177925193115853
"S0004",3,1,1,2.73300685631701,-0.78737126590295,1.16326616131075,-0.0928566695407061
"S0004",1,2,1,2.61316160118482,-0.847293893469036,3.17015369171415,-0.169213284951765
"S0004",2,2,1,2.07546228132834,-1.11614355339728,1.46898874434038,-0.415855008205817
"S0004",3,2,1,2.93029645520938,-0.688726466456764,0.831800434806253,0.258589532792956
"S0004",1,1,2,4.10623301705385,0.100758185534505,2.8363146747824,0.33087501224854
"S0004",2,1,2,3.687995238414,0.309877074854455,1.9523928502097,0.134575191531936
"S0004",3,1,2,3.687995238414,0.309877074854455,2.9446862524527,0.361571509589564
"S0004",1,2,2,4.12288283695833,0.0924332755822609,2.5883023586119,0.116740485062843
"S0004",2,2,2,4.01660656148311,0.145571413319902,3.03520649039657,-0.0165172991542608
"S0004",3,2,2,3.687995238414,0.309877074854455,3.33686363509174,-0.134311273193322
"S0005",1,1,1,3.25143248141457,-0.428587606643369,1.4008324769683,0.15082744470823
"S0005",2,1,1,3.16386486331104,-0.571942262405937,2.03749593939488,0.131601410678566
"S0005",3,1,1,3.18074276472519,-0.272360485059058,1.10521704949154,0.121881225450312
"S0005",1,2,1,2.70853489636764,-0.703530113086495,2.41136432447978,-0.191259948826063
"S0005",2,2,1,2.20861029454863,-0.429815397078232,2.3523803517044,-0.289043616833323
"S0005",3,2,1,3.47188559136499,-0.41793189837896,3.7254637348433,-0
"S0005",1,1,2,3.14272942050329,0.487888565151885,1.99394498493736,0.334945077822651
"S0005",2,1,2,3.30422407443746,0.501762656842724,2.53280431656366,0.198831634403691
"S0005",3,1,2,2.53722161761773,0.594121058612785,2.7106978623711,0.335272698399348
"S0005",1,2,2,4.01547139213509,0.0488972938961908,3.50167942383322,-0.0034504188922256
"S0005",2,2,2,4.30774938812291,-0,2.68446992472856,-0.191885581988269
"S0005",3,2,2,4.30774938812291,-0,3.06824108870509,-0
"S0007",1,1,1,2.05139700774108,-1.1281761901909,1.74635474142138,-0.431847809452574
"S0007",2,1,1,2.39107680339024,-0.958336292366334,1.82483913057209,-0.237929815089963
"S0007",3,1,1,2.55612475938318,-0.875812314369866,1.46898874434038,-0.415855008205817
"S0007",1,2,1,2.41677780555354,-0.848244087186982,2.37954557253183,0.0056018203965405
"S0007",2,2,1,2.47251405802583,-0.917617665048541,1.77429311803775,-0
"S0007",3,2,1,2.39107680339024,-0.958336292366334,3.3968524117742,-0.164305661534553
"S0007",1,1,2,3.1841519120686,0.561798738027177,2.19506116451249,-0.346566498642252
"S0007",2,1,2,3.30422407443746,0.501762656842724,1.83134014948609,-0.549563717942477
"S0007",3,1,2,2.47251405802583,0.917617665048541,1.03531264587869,0.0869290236438899
"S0007",1,2,2,4.21283682663828,0.047456280742288,2.22700646421061,-0.40994725268759
"S0007",2,2,2,4.30774938812291,-0,1.30766006498618,-0.496519347882919
"S0007",3,2,2,4.30774938812291,-0,1.86273186742165,-0.931365933710826
"S0013",1,1,1,3.82190902420247,-0.242920181960208,2.3107566646076,0.380864291273504
"S0013",2,1,1,4.30774938812291,-0,3.01308124779766,0.356191243522822
"S0013",3,1,1,4.01660656148311,-0.145571413319902,2.02289695546722,0.522672066618939
"S0013",1,2,1,4.30774938812285,-0,2.08666546311971,0.169661643512219
"S0013",2,2,1,4.30774938812291,-0,3.7254637348433,-0
"S0013",3,2,1,4.30774938812291,-0,2.42126710337142,0.323486992666835
"S0013",1,1,2,4.2107988268518,0.0484752806355273,2.84985905610332,0.330346436726391
"S0013",2,1,2,3.687995238414,0.309877074854455,2.456840359026,0.605494456302913
"S0013",3,1,2,3.687995238414,0.309877074854455,2.3523803517044,0.289043616833323
"S0013",1,2,2,3.92847541535461,0.0958889962061106,2.5881729389109,0.454617268861218
"S0013",2,2,2,4.30774938812291,-0,2.74987842644053,0.487792654201388
"S0013",3,2,2,4.01660656148311,0.145571413319902,2.70435310099457,0.510555316924369
"S0015",1,1,1,3.15502516397506,-0.576362112073948,1.95341268163725,0.0449535905711206
"S0015",2,1,1,4.01660656148311,-0.145571413319902,1.63912579149068,0.330786484630669
"S0015",3,1,1,4.01660656148311,-0.145571413319902,0.993129114160457,0.177925193115853
"S0015",1,2,1,3.1954563152651,-0.556146536428933,3.50607928699783,-0.109692223922725
"S0015",2,2,1,4.01660656148311,-0.145571413319902,3.06824108870509,-0
"S0015",3,2,1,2.73300685631701,-0.78737126590295,2.30069876075202,-0
"S0015",1,1,2,3.73987563096555,0.283936878578674,3.35862477002813,0.183419482407576
"S0015",2,1,2,3.16386486331104,0.571942262405937,2.83639556239685,0.350627257320282
"S0015",3,1,2,3.04102125308033,0.63336406752129,2.44615310505905,0.203000319743323
"S0015",1,2,2,3.81503368463229,0.144749005248001,3.37181726076123,-0.176823237041022
"S0015",2,2,2,4.01660656148311,0.145571413319902,3.36803518016846,0.149897045731684
"S0015",3,2,2,3.47188559136499,0.41793189837896,2.90148515969406,-0.383172055968886
"S0018",1,1,1,3.66766738767239,-0.320041000225259,2.64360087030649,0.307304030126798
"S0018",2,1,1,3.7254637348433,-0,1.99791817565566,-0.111812528808955
"S0018",3,1,1,3.687995238414,-0.309877074854455,1.16326616131075,0.0928566695407061
"S0018",1,2,1,3.7433874124075,-0.2821809878577,2.93782726926364,0.182869707384741
"S0018",2,2,1,4.30774938812291,-0,3.01308124779766,-0.356191243522822
"S0018",3,2,1,4.30774938812291,-0,2.03749593939488,0.131601410678566
"S0018",1,1,2,3.90893713656665,0.199406125778109,2.84676590514272,-0.326963842360656
"S0018",2,1,2,4.30774938812291,-0,3.7254637348433,-0
"S0018",3,1,2,4.01660656148311,0.145571413319902,2.98426401619192,-0.341782627719953
"S0018",1,2,2,4.11174447255316,0.0980024577848465,3.15933173367003,-0.167394814866307
"S0018",2,2,2,4.30774938812291,-0,2.74987842644053,-0.487792654201388
"S0018",3,2,2,4.30774938812291,-0,3.06824108870509,-0
"S0019",1,1,1,3.59096871487657,-0.358390336623177,1.49408397913298,-0.34878269826787
"S0019",2,1,1,3.687995238414,-0.309877074854455,1.20578592298325,0.28425359752725
"S0019",3,1,1,4.30774938812291,-0,0.831710016411633,-0.734494372170192
"S0019",1,2,1,3.29390882964711,-0.506920279237927,1.53913541124557,-0.258132097329684
"S0019",2,2,1,2.47251405802583,-0.917617665048541,2.03749593939488,-0.131601410678566
"S0019",3,2,1,2.82836444425754,-0.739692471932687,0.807415775079045,-0.0850685235751472
"S0019",1,1,2,4.09707797364913,0.10533570723686,1.60808707785797,-0.180736929863217
"S0019",2,1,2,3.01308124779766,0.356191243522822,1.86169746635912,-0.0892274996066437
"S0019",3,1,2,3.47188559136499,0.41793189837896,1.22236590703883,-0.180455654223959
"S0019",1,2,2,3.63127560479025,0.0434236829088974,2.19997004900123,-0.309238237006195
"S0019",2,2,2,4.01660656148311,-0.145571413319902,1.34897950039216,-0
