SID,Validity,Target,targetContrast,nontargetContrast,Acc,RT
"S0007",1,1,1,1,78.125,0.735830674568812
"S0007",2,1,1,1,81.25,0.84561887383461
"S0007",3,1,1,1,75,0.768332868814468
"S0007",1,2,1,1,86.4583333333333,0.534442879259586
"S0007",2,2,1,1,81.25,0.485429167747498
"S0007",3,2,1,1,96.875,0.525043353438377
"S0007",1,1,0,1,45.8333333333333,0.559732173879941
"S0007",2,1,0,1,59.375,0.546648636460304
"S0007",3,1,0,1,65.625,0.633337959647179
"S0007",1,2,0,1,63.5416666666667,0.417757548391819
"S0007",2,2,0,1,62.5,0.451611213386059
"S0007",3,2,0,1,59.375,0.449869550764561
"S0007",1,1,1,0,70.8333333333333,0.639164624114831
"S0007",2,1,1,0,68.75,0.657958745956421
"S0007",3,1,1,0,43.75,0.880121909081936
"S0007",1,2,1,0,83.3333333333333,0.488671528796355
"S0007",2,2,1,0,71.875,0.423889175057411
"S0007",3,2,1,0,75,0.515141949057579
"S0007",1,1,0,0,100,0.408008622626464
"S0007",2,1,0,0,100,0.445140682160854
"S0007",3,1,0,0,100,0.434991538524628
"S0007",1,2,0,0,100,0.294385768473148
"S0007",2,2,0,0,100,0.239367969334126
"S0007",3,2,0,0,100,0.357290670275688
"S0019",1,1,1,1,75,0.26227326442798
"S0019",2,1,1,1,71.875,0.450856767594814
"S0019",3,1,1,1,62.5,0.409151323139668
"S0019",1,2,1,1,76.0416666666667,0.367238568762938
"S0019",2,2,1,1,84.375,0.273996263742447
"S0019",3,2,1,1,65.625,0.303575687110424
"S0019",1,1,0,1,91.6666666666667,0.416078060865402
"S0019",2,1,0,1,93.75,0.391845501959324
"S0019",3,1,0,1,100,0.348897218704224
"S0019",1,2,0,1,86.4583333333333,0.259816500047843
"S0019",2,2,0,1,62.5,0.23883306235075
"S0019",3,2,0,1,75,0.324057601392269
"S0019",1,1,1,0,76.0416666666667,0.232751722137133
"S0019",2,1,1,0,71.875,0.350701354444027
"S0019",3,1,1,0,65.625,0.30079647898674
"S0019",1,2,1,0,81.25,0.224005890389284
"S0019",2,2,1,0,75,0.1643922701478
"S0019",3,2,1,0,68.75,0.403071716427803
"S0019",1,1,0,0,100,0.227013262609641
"S0019",2,1,0,0,96.875,0.422896422445774
"S0019",3,1,0,0,100,0.149567559361458
"S0019",1,2,0,0,96.875,0.135907118519147
"S0019",2,2,0,0,96.875,0.181287840008736
"S0019",3,2,0,0,100,0.113630451261997
"S0004",1,1,1,1,83.3333333333333,0.223596436281999
"S0004",2,1,1,1,68.75,0.277428634464741
"S0004",3,1,1,1,71.875,0.832930102944374
"S0004",1,2,1,1,94.7916666666667,0.216797977685928
"S0004",2,2,1,1,75,0.483976632356644
"S0004",3,2,1,1,65.625,0.797756403684616
"S0004",1,1,0,1,83.3333333333333,0.454431573549906
"S0004",2,1,0,1,87.5,0.512914016842842
"S0004",3,1,0,1,71.875,0.678826555609703
"S0004",1,2,0,1,67.7083333333333,0.224009583393733
"S0004",2,2,0,1,46.875,0.212962485849857
"S0004",3,2,0,1,78.125,0.473973944783211
"S0004",1,1,1,0,89.5833333333333,0.190702505409718
"S0004",2,1,1,0,78.125,0.144460640847683
"S0004",3,1,1,0,87.5,0.684996284544468
"S0004",1,2,1,0,87.5,0.298586015899976
"S0004",2,2,1,0,90.625,0.272686682641506
"S0004",3,2,1,0,90.625,0.684707500040531
"S0004",1,1,0,0,100,0.161241667966048
"S0004",2,1,0,0,100,0.190942816436291
"S0004",3,1,0,0,100,0.142843015491962
"S0004",1,2,0,0,100,0.234458662569523
"S0004",2,2,0,0,100,0.161707982420921
"S0004",3,2,0,0,100,0.249787032604218
"S0071",1,1,1,1,90.625,0.263937736550967
"S0071",2,1,1,1,71.875,0.353938087821007
"S0071",3,1,1,1,75,0.365542329847813
"S0071",1,2,1,1,86.4583333333333,0.223243313531081
"S0071",2,2,1,1,84.375,0.319250173866749
"S0071",3,2,1,1,84.375,0.292882151901722
"S0071",1,1,0,1,71.875,0.300640240311623
"S0071",2,1,0,1,75,0.362403944134712
"S0071",3,1,0,1,75,0.366445511579514
"S0071",1,2,0,1,83.3333333333333,0.217415223519007
"S0071",2,2,0,1,71.875,0.216535151004791
"S0071",3,2,0,1,81.25,0.302848629653454
"S0071",1,1,1,0,68.75,0.362026872734229
"S0071",2,1,1,0,81.25,0.428101561963558
"S0071",3,1,1,0,71.875,0.619435757398605
"S0071",1,2,1,0,87.5,0.22872102757295
"S0071",2,2,1,0,90.625,0.229924105107784
"S0071",3,2,1,0,90.625,0.33165018260479
"S0071",1,1,0,0,100,0.222810459633668
"S0071",2,1,0,0,90.625,0.239864140748978
"S0071",3,1,0,0,100,0.241575069725513
"S0071",1,2,0,0,98.9583333333333,0.217016868293285
"S0071",2,2,0,0,100,0.192676231265068
"S0071",3,2,0,0,93.75,0.198063686490059
"S0135",1,1,1,1,84.375,1.0690540621678
"S0135",2,1,1,1,84.375,1.33694691210985
"S0135",3,1,1,1,62.5,1.65112328529358
"S0135",1,2,1,1,84.375,1.09057370573282
"S0135",2,2,1,1,78.125,1.063575938344
"S0135",3,2,1,1,81.25,1.38172257691622
"S0135",1,1,0,1,94.7916666666667,0.511363133788109
"S0135",2,1,0,1,100,0.66165654361248
"S0135",3,1,0,1,96.875,0.649733923375607
"S0135",1,2,0,1,93.75,0.49183339625597
"S0135",2,2,0,1,84.375,0.451984092593193
"S0135",3,2,0,1,93.75,0.697099775075912
"S0135",1,1,1,0,76.0416666666667,0.95100457717975
"S0135",2,1,1,0,68.75,1.57525824010372
"S0135",3,1,1,0,65.625,1.48146612942219
"S0135",1,2,1,0,85.4166666666667,1.00541034340858
"S0135",2,2,1,0,81.25,1.37055587768555
"S0135",3,2,1,0,71.875,1.47903156280518
"S0135",1,1,0,0,100,0.275581516325474
"S0135",2,1,0,0,100,0.305569104850292
"S0135",3,1,0,0,100,0.381807722151279
"S0135",1,2,0,0,100,0.285899229347706
"S0135",2,2,0,0,100,0.281273819506168
"S0135",3,2,0,0,100,0.379020020365715
"S0005",1,1,1,1,73.9583333333333,0.143102429807186
"S0005",2,1,1,1,84.375,0.18699873238802
"S0005",3,1,1,1,68.75,0.31270058453083
"S0005",1,2,1,1,86.4583333333333,0.0831402490536372
"S0005",2,2,1,1,81.25,0.0904407575726509
"S0005",3,2,1,1,100,0.178199715912342
"S0005",1,1,0,1,87.5,0.163840581973394
"S0005",2,1,0,1,84.375,0.130374856293201
"S0005",3,1,0,1,90.625,0.208258159458637
"S0005",1,2,0,1,73.9583333333333,0.0833260392149289
"S0005",2,2,0,1,75,0.0983074679970741
"S0005",3,2,0,1,90.625,0.143034845590591
"S0005",1,1,1,0,69.7916666666667,0.125425256788731
"S0005",2,1,1,0,78.125,0.285914093255997
"S0005",3,1,1,0,68.75,0.287239275872707
"S0005",1,2,1,0,95.8333333333333,0.0845240727066994
"S0005",2,2,1,0,90.625,0.0823573470115662
"S0005",3,2,1,0,93.75,0.154630020260811
"S0005",1,1,0,0,98.9583333333333,0.0733395119508107
"S0005",2,1,0,0,100,0.100344955921173
"S0005",3,1,0,0,96.875,0.137915134429932
"S0005",1,2,0,0,98.9583333333333,0.0805435205499331
"S0005",2,2,0,0,100,0.118340365588665
"S0005",3,2,0,0,100,0.136822804808617
"S0122",1,1,1,1,72.9166666666667,0.237066706021627
"S0122",2,1,1,1,65.625,0.358893692493439
"S0122",3,1,1,1,87.5,0.46051312983036
"S0122",1,2,1,1,91.6666666666667,0.144428287943204
"S0122",2,2,1,1,90.625,0.215054363012314
"S0122",3,2,1,1,84.375,0.314136281609535
"S0122",1,1,0,1,85.4166666666667,0.170208801825841
"S0122",2,1,0,1,87.5,0.227748617529869
"S0122",3,1,0,1,96.875,0.255054272711277
"S0122",1,2,0,1,93.75,0.0623931114872297
"S0122",2,2,0,1,87.5,0.0690850466489792
"S0122",3,2,0,1,96.875,0.137425221502781
"S0122",1,1,1,0,83.3333333333333,0.24379796286424
"S0122",2,1,1,0,84.375,0.337760016322136
"S0122",3,1,1,0,65.625,0.310123205184937
"S0122",1,2,1,0,91.6666666666667,0.16835972170035
"S0122",2,2,1,0,90.625,0.167679809033871
"S0122",3,2,1,0,78.125,0.256646171212196
"S0122",1,1,0,0,98.9583333333333,0.0361187631885211
"S0122",2,1,0,0,100,0.0173723548650742
"S0122",3,1,0,0,96.875,0.0821623951196671
"S0122",1,2,0,0,97.9166666666667,0.0303152029712995
"S0122",2,2,0,0,100,0.0167092904448509
"S0122",3,2,0,0,100,0.0274991616606712
"S0001",1,1,1,1,93.75,0.216567439337571
"S0001",2,1,1,1,84.375,0.613541230559349
"S0001",3,1,1,1,65.625,0.657545998692513
"S0001",1,2,1,1,87.5,0.169896600147088
"S0001",2,2,1,1,84.375,0.291557520627975
"S0001",3,2,1,1,90.625,0.625009514391422
"S0001",1,1,0,1,98.9583333333333,0.292465935150782
"S0001",2,1,0,1,96.875,0.57079603523016
"S0001",3,1,0,1,93.75,0.526231311261654
"S0001",1,2,0,1,89.5833333333333,0.208144776523113
"S0001",2,2,0,1,78.125,0.398490890860558
"S0001",3,2,0,1,96.875,0.512117706239223
"S0001",1,1,1,0,86.4583333333333,0.351590504248937
"S0001",2,1,1,0,62.5,0.683439649641514
"S0001",3,1,1,0,71.875,0.84689087420702
"S0001",1,2,1,0,86.4583333333333,0.178240900238355
"S0001",2,2,1,0,84.375,0.352375790476799
"S0001",3,2,1,0,87.5,0.549995079636574
"S0001",1,1,0,0,100,0.0633260980248451
"S0001",2,1,0,0,100,0.110763154923916
"S0001",3,1,0,0,100,0.0965958088636398
"S0001",1,2,0,0,100,0.106963587303956
"S0001",2,2,0,0,100,0.527241103351116
"S0001",3,2,0,0,96.875,0.118653297424316
"S0108",1,1,1,1,81.25,0.266974121332169
"S0108",2,1,1,1,78.125,0.255466662347317
"S0108",3,1,1,1,65.625,0.423560038208961
"S0108",1,2,1,1,89.5833333333333,0.445995144546032
"S0108",2,2,1,1,90.625,0.325591035187244
"S0108",3,2,1,1,78.125,0.221962451934814
"S0108",1,1,0,1,93.75,0.20950141052405
"S0108",2,1,0,1,96.875,0.289182864129543
"S0108",3,1,0,1,96.875,0.369163937866688
"S0108",1,2,0,1,90.625,0.145048476755619
"S0108",2,2,0,1,81.25,0.299846731126308
"S0108",3,2,0,1,87.5,0.316615596413612
"S0108",1,1,1,0,85.4166666666667,0.262288009126981
"S0108",2,1,1,0,87.5,0.340381287038326
"S0108",3,1,1,0,68.75,0.593594424426556
"S0108",1,2,1,0,89.5833333333333,0.146687500178814
"S0108",2,2,1,0,87.5,0.15681691467762
"S0108",3,2,1,0,90.625,0.202254593372345
"S0108",1,1,0,0,98.9583333333333,0.128719165921211
"S0108",2,1,0,0,100,0.113652713596821
"S0108",3,1,0,0,100,0.141373813152313
"S0108",1,2,0,0,100,0.117102958261967
"S0108",2,2,0,0,100,0.173979990184307
"S0108",3,2,0,0,100,0.107765577733517
