SID,Validity,Target,targetContrast,nontargetContrast,point95_SwapAcc
"S0004",1,1,1,1,80
"S0004",2,1,1,1,50
"S0004",3,1,1,1,63.6363636363636
"S0004",1,2,1,1,NaN
"S0004",2,2,1,1,50
"S0004",3,2,1,1,63.6363636363636
"S0004",1,1,0,1,90.3225806451613
"S0004",2,1,0,1,94.1176470588235
"S0004",3,1,0,1,100
"S0004",1,2,0,1,90.3225806451613
"S0004",2,2,0,1,94.1176470588235
"S0004",3,2,0,1,100
"S0004",1,1,1,0,16.6666666666667
"S0004",2,1,1,0,33.3333333333333
"S0004",3,1,1,0,66.6666666666667
"S0004",1,2,1,0,16.6666666666667
"S0004",2,2,1,0,33.3333333333333
"S0004",3,2,1,0,66.6666666666667
"S0004",1,1,0,0,NaN
"S0004",2,1,0,0,NaN
"S0004",3,1,0,0,NaN
"S0004",1,2,0,0,NaN
"S0004",2,2,0,0,NaN
"S0004",3,2,0,0,NaN
"S0005",1,1,1,1,7.69230769230769
"S0005",2,1,1,1,16.6666666666667
"S0005",3,1,1,1,0
"S0005",1,2,1,1,7.69230769230769
"S0005",2,2,1,1,16.6666666666667
"S0005",3,2,1,1,NaN
"S0005",1,1,0,1,84
"S0005",2,1,0,1,100
"S0005",3,1,0,1,66.6666666666667
"S0005",1,2,0,1,84
"S0005",2,2,0,1,100
"S0005",3,2,0,1,66.6666666666667
"S0005",1,1,1,0,50
"S0005",2,1,1,0,0
"S0005",3,1,1,0,0
"S0005",1,2,1,0,NaN
"S0005",2,2,1,0,0
"S0005",3,2,1,0,0
"S0005",1,1,0,0,NaN
"S0005",2,1,0,0,NaN
"S0005",3,1,0,0,NaN
"S0005",1,2,0,0,NaN
"S0005",2,2,0,0,NaN
"S0005",3,2,0,0,NaN
"S0007",1,1,1,1,30.7692307692308
"S0007",2,1,1,1,50
"S0007",3,1,1,1,100
"S0007",1,2,1,1,30.7692307692308
"S0007",2,2,1,1,50
"S0007",3,2,1,1,NaN
"S0007",1,1,0,1,77.1428571428572
"S0007",2,1,0,1,83.3333333333333
"S0007",3,1,0,1,100
"S0007",1,2,0,1,77.1428571428572
"S0007",2,2,0,1,83.3333333333333
"S0007",3,2,0,1,100
"S0007",1,1,1,0,6.25
"S0007",2,1,1,0,0
"S0007",3,1,1,0,0
"S0007",1,2,1,0,6.25
"S0007",2,2,1,0,0
"S0007",3,2,1,0,0
"S0007",1,1,0,0,NaN
"S0007",2,1,0,0,NaN
"S0007",3,1,0,0,NaN
"S0007",1,2,0,0,NaN
"S0007",2,2,0,0,NaN
"S0007",3,2,0,0,NaN
"S0013",1,1,1,1,37.5
"S0013",2,1,1,1,0
"S0013",3,1,1,1,0
"S0013",1,2,1,1,37.5
"S0013",2,2,1,1,NaN
"S0013",3,2,1,1,0
"S0013",1,1,0,1,NaN
"S0013",2,1,0,1,NaN
"S0013",3,1,0,1,NaN
"S0013",1,2,0,1,NaN
