SID,Validity,Target,targetContrast,nontargetContrast,swapAcc
"S0004",1,1,1,1,10.4166666666667
"S0004",2,1,1,1,21.875
"S0004",3,1,1,1,18.75
"S0004",1,2,1,1,4.16666666666667
"S0004",2,2,1,1,12.5
"S0004",3,2,1,1,21.875
"S0004",1,1,1,0,16.6666666666667
"S0004",2,1,1,0,9.375
"S0004",3,1,1,0,21.875
"S0004",1,2,1,0,29.1666666666667
"S0004",2,2,1,0,50
"S0004",3,2,1,0,21.875
"S0004",1,1,0,1,2.08333333333333
"S0004",2,1,0,1,6.25
"S0004",3,1,0,1,6.25
"S0004",1,2,0,1,2.08333333333333
"S0004",2,2,0,1,3.125
"S0004",3,2,0,1,6.25
"S0004",1,1,0,0,0
"S0004",2,1,0,0,0
"S0004",3,1,0,0,0
"S0004",1,2,0,0,0
"S0004",2,2,0,0,0
"S0004",3,2,0,0,0
"S0005",1,1,1,1,10.4166666666667
"S0005",2,1,1,1,6.25
"S0005",3,1,1,1,15.625
"S0005",1,2,1,1,1.04166666666667
"S0005",2,2,1,1,3.125
"S0005",3,2,1,1,0
"S0005",1,1,1,0,10.4166666666667
"S0005",2,1,1,0,12.5
"S0005",3,1,1,0,6.25
"S0005",1,2,1,0,21.875
"S0005",2,2,1,0,25
"S0005",3,2,1,0,6.25
"S0005",1,1,0,1,14.5833333333333
"S0005",2,1,0,1,12.5
"S0005",3,1,0,1,25
"S0005",1,2,0,1,2.08333333333333
"S0005",2,2,0,1,0
"S0005",3,2,0,1,0
"S0005",1,1,0,0,0
"S0005",2,1,0,0,0
"S0005",3,1,0,0,0
"S0005",1,2,0,0,0
"S0005",2,2,0,0,0
"S0005",3,2,0,0,0
"S0007",1,1,1,1,12.5
"S0007",2,1,1,1,9.375
"S0007",3,1,1,1,15.625
"S0007",1,2,1,1,4.16666666666667
"S0007",2,2,1,1,9.375
"S0007",3,2,1,1,3.125
"S0007",1,1,1,0,45.8333333333333
"S0007",2,1,1,0,34.375
"S0007",3,1,1,0,31.25
"S0007",1,2,1,0,28.125
"S0007",2,2,1,0,31.25
"S0007",3,2,1,0,40.625
"S0007",1,1,0,1,15.625
"S0007",2,1,0,1,12.5
"S0007",3,1,0,1,37.5
"S0007",1,2,0,1,1.04166666666667
"S0007",2,2,0,1,0
"S0007",3,2,0,1,0
"S0007",1,1,0,0,0
"S0007",2,1,0,0,0
"S0007",3,1,0,0,0
"S0007",1,2,0,0,0
"S0007",2,2,0,0,0
"S0007",3,2,0,0,0
"S0013",1,1,1,1,7.29166666666667
"S0013",2,1,1,1,6.25
"S0013",3,1,1,1,6.25
"S0013",1,2,1,1,6.25
"S0013",2,2,1,1,0
"S0013",3,2,1,1,0
"S0013",1,1,1,0,4.16666666666667
"S0013",2,1,1,0,0
"S0013",3,1,1,0,3.125
"S0013",1,2,1,0,0
"S0013",2,2,1,0,0
"S0013",3,2,1,0,0
"S0013",1,1,0,1,1.04166666666667
"S0013",2,1,0,1,6.25
"S0013",3,1,0,1,6.25
"S0013",1,2,0,1,3.125
"S0013",2,2,0,1,0
"S0013",3,2,0,1,3.125
"S0013",1,1,0,0,0
"S0013",2,1,0,0,0
"S0013",3,1,0,0,0
"S0013",1,2,0,0,0
"S0013",2,2,0,0,0
"S0013",3,2,0,0,0
"S0015",1,1,1,1,12.5
"S0015",2,1,1,1,12.5
"S0015",3,1,1,1,21.875
"S0015",1,2,1,1,1.04166666666667
"S0015",2,2,1,1,0
"S0015",3,2,1,1,6.25
"S0015",1,1,1,0,16.6666666666667
"S0015",2,1,1,0,3.125
"S0015",3,1,1,0,3.125
"S0015",1,2,1,0,12.5
"S0015",2,2,1,0,3.125
"S0015",3,2,1,0,25
"S0015",1,1,0,1,6.25
"S0015",2,1,0,1,15.625
"S0015",3,1,0,1,18.75
"S0015",1,2,0,1,4.16666666666667
"S0015",2,2,0,1,3.125
"S0015",3,2,0,1,9.375
"S0015",1,1,0,0,0
"S0015",2,1,0,0,0
"S0015",3,1,0,0,0
"S0015",1,2,0,0,0
"S0015",2,2,0,0,0
"S0015",3,2,0,0,0
"S0018",1,1,1,1,4.16666666666667
"S0018",2,1,1,1,9.375
"S0018",3,1,1,1,12.5
"S0018",1,2,1,1,4.16666666666667
"S0018",2,2,1,1,3.125
"S0018",3,2,1,1,3.125
"S0018",1,1,1,0,7.29166666666667
"S0018",2,1,1,0,3.125
"S0018",3,1,1,0,3.125
"S0018",1,2,1,0,5.20833333333333
"S0018",2,2,1,0,0
"S0018",3,2,1,0,0
"S0018",1,1,0,1,4.16666666666667
"S0018",2,1,0,1,0
"S0018",3,1,0,1,3.125
"S0018",1,2,0,1,2.08333333333333
"S0018",2,2,0,1,0
"S0018",3,2,0,1,0
"S0018",1,1,0,0,0
"S0018",2,1,0,0,0
"S0018",3,1,0,0,0
"S0018",1,2,0,0,0
"S0018",2,2,0,0,0
"S0018",3,2,0,0,0
"S0019",1,1,1,1,14.5833333333333
"S0019",2,1,1,1,15.625
"S0019",3,1,1,1,21.875
"S0019",1,2,1,1,13.5416666666667
"S0019",2,2,1,1,3.125
"S0019",3,2,1,1,15.625
"S0019",1,1,1,0,6.25
"S0019",2,1,1,0,3.125
